minute,result,X,Y,xG,player,situation,season,shotType,Date,player_assisted,lastAction,time,squad,opponent,venue,GF,GA
76,SavedShot,0.904000015258789,0.53,0.0932508632540702,Erling Haaland,OpenPlay,2023,Head,2024-05-04,Bernardo Silva,Cross,16:30:00,Manchester City,Wolverhampton Wanderers,Home,5,1
14,MissedShots,0.875999984741211,0.49,0.1023066043853759,Erling Haaland,OpenPlay,2023,RightFoot,2024-05-11,Bernardo Silva,HeadPass,11:30:00,Manchester City,Fulham,Away,4,0
60,MissedShots,0.8730000305175781,0.37,0.2620955407619476,Erling Haaland,OpenPlay,2023,LeftFoot,2024-05-11,Kevin De Bruyne,Pass,11:30:00,Manchester City,Fulham,Away,4,0
67,BlockedShot,0.8469999694824218,0.3629999923706055,0.1305818259716034,Erling Haaland,OpenPlay,2023,LeftFoot,2024-05-11,Kevin De Bruyne,TakeOn,11:30:00,Manchester City,Fulham,Away,4,0
50,Goal,0.978000030517578,0.5220000076293946,0.9445824027061462,Erling Haaland,OpenPlay,2023,LeftFoot,2024-05-14,Kevin De Bruyne,Pass,19:00:00,Manchester City,Tottenham,Away,2,0
90,Goal,0.885,0.5,0.7611688375473022,Erling Haaland,Penalty,2023,LeftFoot,2024-05-14,,Standard,19:00:00,Manchester City,Tottenham,Away,2,0
45,MissedShots,0.931999969482422,0.5070000076293946,0.1413769572973251,Erling Haaland,OpenPlay,2023,LeftFoot,2024-05-19,,,15:00:00,Manchester City,West Ham,Home,3,1
65,BlockedShot,0.9009999847412108,0.5379999923706055,0.1430761963129043,Erling Haaland,OpenPlay,2023,LeftFoot,2024-05-19,Phil Foden,Pass,15:00:00,Manchester City,West Ham,Home,3,1
68,BlockedShot,0.875,0.474000015258789,0.0705470144748687,Erling Haaland,FromCorner,2023,LeftFoot,2024-05-19,Manuel Akanji,Pass,15:00:00,Manchester City,West Ham,Home,3,1
83,MissedShots,0.965999984741211,0.5479999923706055,0.5927795171737671,Erling Haaland,SetPiece,2023,OtherBodyPart,2024-05-19,Kevin De Bruyne,Cross,15:00:00,Manchester City,West Ham,Home,3,1
